Model,Variant,n,Length (chars),Length (chars) CI,Length (words),Length (words) CI,Sentences,Sentences CI,VADER compound,VADER compound CI,VADER positive share,VADER positive share CI,VADER negative share,VADER negative share CI,Flesch reading ease,Flesch reading ease CI,Flesch-Kincaid grade,Flesch-Kincaid grade CI,Latency (s),Latency (s) CI,Completion tokens,Completion tokens CI,Apology,Empathy / acknowledgement,Ownership,Time-bound commitment,Hedging,Asks for information,Escalation,Promises an outcome,Mentions regulator / bureau,Markdown formatting,Echoes XXXX redaction,Thanks the customer,Leaves a [placeholder],v3_all_labels,v3_nothing_needed,sentence_compliant,truncated
ChatGPT,V1 terse,10000,295.3695,"[295, 296]",45.2793,"[45.2, 45.4]",2.0092,"[2.01, 2.01]",0.51790568,"[0.51, 0.526]",0.20874830000000003,"[0.208, 0.21]",0.0890932,"[0.0882, 0.09]",35.88915,"[35.7, 36.1]",13.8518,"[13.8, 13.9]",0.888705,"[0.882, 0.895]",49.0758,"[48.9, 49.2]",0.6965,0.8124,0.3239,0.0038,0.0401,0.4468,0.0695,0.0007,0.0257,0.0,0.0125,0.2448,0.1175,0.0,0.0,0.9905,0.0
ChatGPT,V2 empathetic,10000,495.902,"[495, 497]",83.6178,"[83.4, 83.8]",4.6356,"[4.62, 4.65]",0.60820331,"[0.6, 0.617]",0.18020799999999998,"[0.179, 0.181]",0.0916576,"[0.091, 0.0923]",57.802195000000005,"[57.7, 57.9]",9.7291,"[9.7, 9.75]",1.182825,"[1.17, 1.19]",95.034,"[94.8, 95.3]",0.9636,0.9896,0.9781,0.0602,0.0195,0.0056,0.5027,0.0007,0.0243,0.0,0.0125,0.7851,0.4004,0.0,0.0,0.4578,0.0
ChatGPT,V3 structured,10000,384.3534,"[384, 385]",61.5686,"[61.4, 61.7]",3.0067,"[3.01, 3.01]",-0.11490687000000001,"[-0.124, -0.106]",0.045014099999999994,"[0.0442, 0.0458]",0.0579398,"[0.0571, 0.0588]",52.39240600000001,"[52.2, 52.6]",11.009139999999999,"[11, 11]",1.057373,"[1.05, 1.06]",73.1373,"[73, 73.3]",0.0003,0.9885,0.9895,0.8337,0.0231,0.0052,0.0346,0.0,0.0454,0.0016,0.004,0.0245,0.0277,0.9967,0.9935,0.9967,0.0
Mistral,V1 terse,10000,282.6244,"[281, 284]",43.0415,"[42.9, 43.2]",2.1706,"[2.16, 2.18]",0.29176399999999997,"[0.281, 0.302]",0.18587330000000002,"[0.184, 0.187]",0.1149864,"[0.114, 0.116]",39.388436999999996,"[39.2, 39.6]",12.63903,"[12.6, 12.7]",0.804299,"[0.8, 0.808]",52.4897,"[52.2, 52.8]",0.6575,0.7023,0.3703,0.126,0.0637,0.4916,0.2133,0.0042,0.1277,0.0083,0.007,0.1018,0.1198,0.0,0.0,0.831,0.0003
Mistral,V2 empathetic,10000,435.7271,"[434, 437]",71.8931,"[71.7, 72.1]",3.4982,"[3.49, 3.51]",-0.06588616000000001,"[-0.0771, -0.0547]",0.11315030000000001,"[0.112, 0.114]",0.12164630000000001,"[0.121, 0.123]",52.818213,"[52.6, 53]",10.9088,"[10.9, 10.9]",1.0754270000000001,"[1.07, 1.08]",87.9701,"[87.7, 88.2]",0.9976,0.9037,0.9907,0.6879,0.0167,0.0067,0.696,0.0045,0.0411,0.0,0.0052,0.0721,0.1498,0.0,0.0,0.9925,0.0
Mistral,V3 structured,10000,383.0099,"[382, 384]",58.2791,"[58.1, 58.5]",3.0081,"[3.01, 3.01]",0.12420266000000002,"[0.115, 0.134]",0.06921210000000001,"[0.0682, 0.0702]",0.04787400000000001,"[0.047, 0.0488]",50.80401,"[50.6, 51]",10.928889999999999,"[10.9, 11]",0.915919,"[0.912, 0.92]",74.8172,"[74.6, 75]",0.0009,0.825,0.9987,0.9453,0.0632,0.0906,0.1906,0.0001,0.0544,0.9778,0.0085,0.0,0.0355,1.0,0.6217,1.0,0.0
