feature,term,odds_ratio,or_ci_lo,or_ci_hi,p,avg_marginal_effect
apology,mistral,0.8365131182502707,0.7999355793913151,0.8747631872272097,5.062513681959862e-15,-0.0014666666666665951
apology,v2,11.5354085971458,10.358306584437743,12.846274670323261,0.0,0.2299773161641738
apology,v3,0.00013076428312556516,4.214945329531657e-05,0.00040568255112440483,4.724426309336869e-54,-0.7500226838358262
apology,mistral:v2,18.770551596203813,12.446302190601694,28.308296056944492,1.8457722302797096e-44,
apology,mistral:v3,3.5884692731875187,0.9699269542184877,13.276372688277966,0.055592199111079946,
ownership,mistral,1.22749577698707,1.1605000871164537,1.2983591291793604,8.183858048934213e-13,0.022733333333333126
ownership,v2,93.22644680062383,81.02043348270944,107.27133896320522,0.0,0.42681316719467893
ownership,v3,196.7100221996811,161.65029510675612,239.37372219608025,0.0,0.4365131671946789
ownership,mistral:v2,1.943121976831358,1.5153595683439787,2.49163505198387,1.6373569652382372e-07,
ownership,mistral:v3,6.64117908361815,3.730772394071233,11.82201832810203,1.2364177054024352e-10,
gratitude,mistral,0.3496433680723828,0.3264131495609751,0.3745268381541196,3.4526344336013367e-197,-0.29349999999995224
gratitude,v2,11.270394802872255,10.5891656768089,11.99544920623894,0.0,0.20288549983467885
gratitude,v3,0.07747995832537696,0.0678855657765043,0.08843034411565416,0.0,-0.2134645001652479
gratitude,mistral:v2,0.06083033848154599,0.054570649622114054,0.06780806359101768,0.0,
gratitude,mistral:v3,1.6445818120161576e-11,1.4194598958068133e-11,1.905407362620161e-11,0.0,
time_bound,mistral,37.79392990070866,27.517086735942176,51.90887941905429,1.880654948335507e-111,0.28716666666652413
time_bound,v2,16.792833859786434,12.189361537347196,23.134867907426262,9.90355634772302e-67,0.24034841286409706
time_bound,v3,1314.2575876015408,951.2179607286517,1815.8540711795392,0.0,0.7557984128640997
time_bound,mistral:v2,0.9104339349968361,0.659023278356399,1.2577551919881662,0.5692895833407945,
time_bound,mistral:v3,0.09121005677665805,0.06545506604959149,0.1270990155429399,2.0067630976691814e-45,
escalation,mistral,3.6300556097641348,3.3524807878250567,3.9306127503653574,1.926133567036381e-221,0.16436666666666253
escalation,v2,13.533869948079358,12.444807047454145,14.718238303983673,0.0,0.4331003367258329
escalation,v3,0.4798443408109329,0.4249815783500708,0.5417895813324266,2.0669105297933654e-32,-0.0536496632741607
escalation,mistral:v2,0.6239243738546182,0.5676076287868445,0.6858287389862858,1.4623180091590074e-22,
escalation,mistral:v3,1.8099959944912334,1.5868244589737865,2.0645544512169813,9.808428360068823e-19,
placeholder,mistral,1.0222386594922945,0.9414902456434288,1.1099125899562066,0.6003514723180814,-0.08016666666666543
placeholder,v2,5.015442919393091,4.674221305751525,5.381573963290534,0.0,0.1221837435165574
placeholder,v3,0.21397169685391618,0.187058966644357,0.2447564416497078,6.16060389296686e-112,-0.12131625648344198
placeholder,mistral:v2,0.25811067515307623,0.23268168803321082,0.28631870943994514,1.7902713473124497e-144,
placeholder,mistral:v3,1.263846518646152,1.0565597199355206,1.5118009825241856,0.010409865926045607,
promise_outcome,mistral,6.021088572002447,2.7473656388707206,13.195734517084569,7.308187053070447e-06,0.002466666666618548
promise_outcome,v2,1.0,0.4526788046965302,2.2090718399558966,1.0,0.0001011957293841622
promise_outcome,v3,2.0616619098308e-10,3.5826848273959577e-19,0.11863867560844302,0.03022749272537419,-0.002448804270543652
promise_outcome,mistral:v2,1.0717514529669225,0.4357463069231486,2.636054875708433,0.8800495839442374,
promise_outcome,mistral:v3,115013498.99299374,0.18145078527973996,7.29018886868842e+16,0.07266808456496365,
hedging,mistral,1.6285684911932585,1.44023591436413,1.8415283941023366,7.366124981660845e-15,0.020300000000000124
hedging,v2,0.4760676076255059,0.40275075513310604,0.562731079064941,3.3768640857071408e-18,-0.032300953308695556
hedging,v3,0.5660352649954626,0.4804793010813515,0.6668256478424995,9.99297107031929e-12,-0.007250953308695299
hedging,mistral:v2,0.5243694609374695,0.41595573979891537,0.6610398781773688,4.687850830228861e-08,
hedging,mistral:v3,1.7518717036283156,1.4449117468183947,2.124042850874071,1.1658937111971795e-08,
