Model,feature,term,odds_ratio,or_ci_lo,or_ci_hi,p,n_complaints
ChatGPT,apology,A,15.13889296438611,12.37816257220138,18.51535547786718,3.4253376930411896e-154,2999
ChatGPT,apology,B,0.00018502053036222434,2.6027545914942548e-05,0.001315244885837111,8.762332741788407e-18,2999
ChatGPT,apology,C,0.02312017575655036,0.019165636399818584,0.027890674531362746,0.0,2999
ChatGPT,apology,A:B,10.426446518657633,1.441584711233676,75.41061316708584,0.020218850050751358,2999
ChatGPT,apology,A:C,13.697306557727213,10.268869975939168,18.270384898821153,6.339334091685414e-71,2999
ChatGPT,apology,B:C,5.090419763626209e-08,,,,2999
ChatGPT,apology,A:B:C,15120511.264307348,,,,2999
ChatGPT,ownership,A,51.62821970576131,39.44891911657801,67.56770856279871,1.595460578663289e-181,2999
ChatGPT,ownership,B,45.24683918593745,35.09411473007006,58.33674597763527,4.822558584526402e-190,2999
ChatGPT,ownership,C,0.17740229613695588,0.1583160081438602,0.1987895920548115,7.735620372342747e-195,2999
ChatGPT,ownership,A:B,0.049838651647390556,0.029616531886279027,0.0838684018631061,1.4108365664679815e-29,2999
ChatGPT,ownership,A:C,3.5931466618570997,2.5430107272516675,5.076936088102125,4.1083001237350426e-13,2999
ChatGPT,ownership,B:C,5.156593085289219,3.6721535110667967,7.241105843510284,2.8112770518540817e-21,2999
ChatGPT,ownership,A:B:C,0.44062675784308813,0.21536028885679728,0.9015215421465735,0.024845458716092204,2999
ChatGPT,gratitude,A,0.42459194874037914,0.3729289032434877,0.4834120427974654,2.6464974598649417e-38,2999
ChatGPT,gratitude,B,0.0022863156160505076,0.0017157120835857357,0.003046687813302448,0.0,2999
ChatGPT,gratitude,C,18.228536676646474,11.721702981941027,28.347378353108777,5.399078204815826e-38,2999
ChatGPT,gratitude,A:B,12.371331815111473,8.989325286663618,17.025732855240093,9.07673436428733e-54,2999
ChatGPT,gratitude,A:C,0.052615512638272285,0.033430325732880795,0.08281080454640337,4.270548146525714e-37,2999
ChatGPT,gratitude,B:C,0.0640317215186877,0.036276226106102885,0.11302337097179481,2.5414799005423453e-21,2999
ChatGPT,gratitude,A:B:C,6.19871657132408,3.354000154336132,11.456197186494514,5.823863873043376e-09,2999
ChatGPT,time_bound,A,10.825024669428638,6.827174402412369,17.16393227809338,4.16318191474364e-24,2999
ChatGPT,time_bound,B,168.17096027479136,105.59547581949543,267.82844302998086,2.5007797386608203e-103,2999
ChatGPT,time_bound,C,6.501540145324938e-11,,,,2999
ChatGPT,time_bound,A:B,0.20302134227897808,0.12664538236238224,0.3254573096302716,3.543830506071435e-11,2999
ChatGPT,time_bound,A:C,550529731.9119195,,,,2999
ChatGPT,time_bound,B:C,27747763748.216972,,,,2999
ChatGPT,time_bound,A:B:C,7.388598614143216e-10,,,,2999
