Judge,criterion,n_pairs,share_A_chosen,share_B_chosen,share_tie,consistent,decided_by_position,tie_or_mixed
gpt-4.1,overall,2700,0.3825925925925926,0.6166666666666667,0.0007407407407407407,0.7503703703703704,0.24851851851851853,0.0011111111111111111
gpt-4.1,concreteness,2700,0.36407407407407405,0.6061111111111112,0.029814814814814815,0.717037037037037,0.23666666666666666,0.046296296296296294
gpt-4.1,tone,2700,0.42648148148148146,0.4885185185185185,0.085,0.6625925925925926,0.19407407407407407,0.14333333333333334
gpt-4o-mini,overall,2700,0.3635185185185185,0.6192592592592593,0.017222222222222222,0.7129629629629629,0.2577777777777778,0.02925925925925926
gpt-4o-mini,concreteness,2700,0.31851851851851853,0.6696296296296296,0.011851851851851851,0.6344444444444445,0.3459259259259259,0.01962962962962963
gpt-4o-mini,tone,2700,0.37666666666666665,0.6053703703703703,0.017962962962962962,0.6392592592592593,0.32851851851851854,0.03222222222222222
mistral-small,overall,2700,0.4074074074074074,0.5922222222222222,0.00037037037037037035,0.6777777777777778,0.3214814814814815,0.0007407407407407407
mistral-small,concreteness,2700,0.4114814814814815,0.5777777777777777,0.008703703703703703,0.7322222222222222,0.2477777777777778,0.015925925925925927
mistral-small,tone,2700,0.14037037037037037,0.27814814814814814,0.5794444444444444,0.22481481481481483,0.027407407407407408,0.7437037037037038
