Prompt_Variant,Model,vader,roberta,share_negative,share_neutral,share_positive,n
v1_terse,ChatGPT,0.5128246333333333,-0.3507852,0.472,0.5163333333333333,0.011666666666666667,3000
v1_terse,Mistral,0.27567026666666666,-0.4195267,0.5576666666666666,0.43733333333333335,0.005,3000
v2_empathetic,ChatGPT,0.606183,-0.5918532,0.837,0.16266666666666665,0.0003333333333333333,3000
v2_empathetic,Mistral,-0.05146373333333333,-0.7547244,0.9733333333333334,0.02666666666666667,0.0,3000
v3_structured,ChatGPT,-0.11354613333333333,-0.45309073,0.49133333333333334,0.5086666666666667,0.0,3000
v3_structured,Mistral,0.11932956666666666,-0.2748231,0.11166666666666666,0.8883333333333333,0.0,3000
